年份,學科,級分,人數,百分比,"累計
人數","累計
百分比"
110,國文,15,4064,3.22,126287,100.00
110,國文,14,10241,8.11,122223,96.78
110,國文,13,17091,13.53,111982,88.67
110,國文,12,21250,16.83,94891,75.14
110,國文,11,21015,16.64,73641,58.31
110,國文,10,18078,14.32,52626,41.67
110,國文,9,13073,10.35,34548,27.36
110,國文,8,8428,6.67,21475,17.00
110,國文,7,5248,4.16,13047,10.33
110,國文,6,3279,2.60,7799,6.18
110,國文,5,2110,1.67,4520,3.58
110,國文,4,1269,1.00,2410,1.91
110,國文,3,878,0.70,1141,0.90
110,國文,2,247,0.20,263,0.21
110,國文,1,8,0.01,16,0.01
110,國文,0,8,0.01,8,0.01
110,英文,15,4895,3.89,125995,100.00
110,英文,14,8232,6.53,121100,96.11
110,英文,13,9309,7.39,112868,89.58
110,英文,12,10199,8.09,103559,82.19
110,英文,11,10234,8.12,93360,74.10
110,英文,10,9804,7.78,83126,65.98
110,英文,9,9485,7.53,73322,58.19
110,英文,8,9116,7.24,63837,50.67
110,英文,7,9084,7.21,54721,43.43
110,英文,6,9654,7.66,45637,36.22
110,英文,5,11143,8.84,35983,28.56
110,英文,4,12489,9.91,24840,19.72
110,英文,3,10061,7.99,12351,9.80
110,英文,2,2214,1.76,2290,1.82
110,英文,1,66,0.05,76,0.06
110,英文,0,10,0.01,10,0.01
110,數學,15,1558,1.26,123786,100.00
110,數學,14,1942,1.57,122228,98.74
110,數學,13,3110,2.51,120286,97.17
110,數學,12,4225,3.41,117176,94.66
110,數學,11,5662,4.57,112951,91.25
110,數學,10,7071,5.71,107289,86.67
110,數學,9,8730,7.05,100218,80.96
110,數學,8,10626,8.58,91488,73.91
110,數學,7,12580,10.16,80862,65.32
110,數學,6,14702,11.88,68282,55.16
110,數學,5,16149,13.05,53580,43.28
110,數學,4,15354,12.40,37431,30.24
110,數學,3,12551,10.14,22077,17.83
110,數學,2,7724,6.24,9526,7.70
110,數學,1,1758,1.42,1802,1.46
110,數學,0,44,0.04,44,0.04
110,社會,15,2600,2.48,104889,100.00
110,社會,14,5442,5.19,102289,97.52
110,社會,13,11877,11.32,96847,92.33
110,社會,12,12459,11.88,84970,81.01
110,社會,11,13969,13.32,72511,69.13
110,社會,10,14089,13.43,58542,55.81
110,社會,9,13048,12.44,44453,42.38
110,社會,8,11303,10.78,31405,29.94
110,社會,7,10784,10.28,20102,19.17
110,社會,6,5485,5.23,9318,8.88
110,社會,5,2932,2.80,3833,3.65
110,社會,4,774,0.74,901,0.86
110,社會,3,105,0.10,127,0.12
110,社會,2,8,0.01,22,0.02
110,社會,1,2,0.00,14,0.01
110,社會,0,12,0.01,12,0.01
110,自然,15,4062,4.34,93639,100.00
110,自然,14,5824,6.22,89577,95.66
110,自然,13,6393,6.83,83753,89.44
110,自然,12,7209,7.70,77360,82.62
110,自然,11,7594,8.11,70151,74.92
110,自然,10,7495,8.00,62557,66.81
110,自然,9,7828,8.36,55062,58.80
110,自然,8,8765,9.36,47234,50.44
110,自然,7,9499,10.14,38469,41.08
110,自然,6,11271,12.04,28970,30.94
110,自然,5,9950,10.63,17699,18.90
110,自然,4,6072,6.48,7749,8.28
110,自然,3,1560,1.67,1677,1.79
110,自然,2,97,0.10,117,0.12
110,自然,1,10,0.01,20,0.02
110,自然,0,10,0.01,10,0.01
109,國文,15,4274,3.26,131272,100.00
109,國文,14,11069,8.43,126998,96.74
109,國文,13,19540,14.89,115929,88.31
109,國文,12,23182,17.66,96389,73.43
109,國文,11,21439,16.33,73207,55.77
109,國文,10,17564,13.38,51768,39.44
109,國文,9,11878,9.05,34204,26.06
109,國文,8,7769,5.92,22326,17.01
109,國文,7,5254,4.00,14557,11.09
109,國文,6,3627,2.76,9303,7.09
109,國文,5,2544,1.94,5676,4.32
109,國文,4,1771,1.35,3132,2.39
109,國文,3,1059,0.81,1361,1.04
109,國文,2,276,0.21,302,0.23
109,國文,1,19,0.01,26,0.02
109,國文,0,7,0.01,7,0.01
109,英文,15,6025,4.60,131054,100.00
109,英文,14,10439,7.97,125029,95.40
109,英文,13,12916,9.86,114590,87.44
109,英文,12,12129,9.25,101674,77.58
109,英文,11,11272,8.60,89545,68.33
109,英文,10,10580,8.07,78273,59.73
109,英文,9,9657,7.37,67693,51.65
109,英文,8,9164,6.99,58036,44.28
109,英文,7,8629,6.58,48872,37.29
109,英文,6,9088,6.93,40243,30.71
109,英文,5,10073,7.69,31155,23.77
109,英文,4,10314,7.87,21082,16.09
109,英文,3,9097,6.94,10768,8.22
109,英文,2,1626,1.24,1671,1.28
109,英文,1,41,0.03,45,0.03
109,英文,0,4,0.00,4,0.00
109,數學,15,14489,11.22,129087,100.00
109,數學,14,11334,8.78,114598,88.78
109,數學,13,8828,6.84,103264,80.00
109,數學,12,8891,6.89,94436,73.16
109,數學,11,9098,7.05,85545,66.27
109,數學,10,8050,6.24,76447,59.22
109,數學,9,9400,7.28,68397,52.99
109,數學,8,9173,7.11,58997,45.70
109,數學,7,7804,6.05,49824,38.60
109,數學,6,9107,7.05,42020,32.55
109,數學,5,9116,7.06,32913,25.50
109,數學,4,8330,6.45,23797,18.43
109,數學,3,8928,6.92,15467,11.98
109,數學,2,5336,4.13,6539,5.07
109,數學,1,1147,0.89,1203,0.93
109,數學,0,56,0.04,56,0.04
109,社會,15,4206,3.79,111101,100.00
109,社會,14,7392,6.65,106895,96.21
109,社會,13,14018,12.62,99503,89.56
109,社會,12,13762,12.39,85485,76.94
109,社會,11,14660,13.20,71723,64.56
109,社會,10,17234,15.51,57063,51.36
109,社會,9,11813,10.63,39829,35.85
109,社會,8,11628,10.47,28016,25.22
109,社會,7,7078,6.37,16388,14.75
109,社會,6,5250,4.73,9310,8.38
109,社會,5,3423,3.08,4060,3.65
109,社會,4,564,0.51,637,0.57
109,社會,3,58,0.05,73,0.07
109,社會,2,8,0.01,15,0.01
109,社會,1,7,0.01,7,0.01
109,社會,0,0,0.00,0,0.00
109,自然,15,4313,4.31,100023,100.00
109,自然,14,5505,5.50,95710,95.69
109,自然,13,6874,6.87,90205,90.18
109,自然,12,7525,7.52,83331,83.31
109,自然,11,7699,7.70,75806,75.79
109,自然,10,7794,7.79,68107,68.09
109,自然,9,7305,7.30,60313,60.30
109,自然,8,7935,7.93,53008,53.00
109,自然,7,9495,9.49,45073,45.06
109,自然,6,12038,12.04,35578,35.57
109,自然,5,12947,12.94,23540,23.53
109,自然,4,8463,8.46,10593,10.59
109,自然,3,1989,1.99,2130,2.13
109,自然,2,129,0.13,141,0.14
109,自然,1,3,0.00,12,0.01
109,自然,0,9,0.01,9,0.01
108,國文,15,4438,3.26,136189,100.00
108,國文,14,11530,8.47,131751,96.74
108,國文,13,18939,13.91,120221,88.28
108,國文,12,22431,16.47,101282,74.37
108,國文,11,21832,16.03,78851,57.90
108,國文,10,18576,13.64,57019,41.87
108,國文,9,13429,9.86,38443,28.23
108,國文,8,8982,6.60,25014,18.37
108,國文,7,6069,4.46,16032,11.77
108,國文,6,4058,2.98,9963,7.32
108,國文,5,2741,2.01,5905,4.34
108,國文,4,1658,1.22,3164,2.32
108,國文,3,1036,0.76,1506,1.11
108,國文,2,437,0.32,470,0.35
108,國文,1,26,0.02,33,0.02
108,國文,0,7,0.01,7,0.01
108,英文,15,7689,5.66,135948,100.00
108,英文,14,13395,9.85,128259,94.34
108,英文,13,13511,9.94,114864,84.49
108,英文,12,12908,9.49,101353,74.55
108,英文,11,10781,7.93,88445,65.06
108,英文,10,9806,7.21,77664,57.13
108,英文,9,8658,6.37,67858,49.91
108,英文,8,8246,6.07,59200,43.55
108,英文,7,7993,5.88,50954,37.48
108,英文,6,8727,6.42,42961,31.60
108,英文,5,9546,7.02,34234,25.18
108,英文,4,12025,8.85,24688,18.16
108,英文,3,10525,7.74,12663,9.31
108,英文,2,2082,1.53,2138,1.57
108,英文,1,47,0.03,56,0.04
108,英文,0,9,0.01,9,0.01
108,數學,15,7782,5.82,133693,100.00
108,數學,14,8846,6.62,125911,94.18
108,數學,13,8937,6.68,117065,87.56
108,數學,12,10403,7.78,108128,80.88
108,數學,11,10927,8.17,97725,73.10
108,數學,10,9332,6.98,86798,64.92
108,數學,9,11577,8.66,77466,57.94
108,數學,8,10842,8.11,65889,49.28
108,數學,7,8929,6.68,55047,41.17
108,數學,6,10210,7.64,46118,34.50
108,數學,5,10508,7.86,35908,26.86
108,數學,4,9559,7.15,25400,19.00
108,數學,3,9799,7.33,15841,11.85
108,數學,2,5095,3.81,6042,4.52
108,數學,1,906,0.68,947,0.71
108,數學,0,41,0.03,41,0.03
108,社會,15,2575,2.12,121232,100.00
108,社會,14,6157,5.08,118657,97.88
108,社會,13,15142,12.49,112500,92.80
108,社會,12,17074,14.08,97358,80.31
108,社會,11,18823,15.53,80284,66.22
108,社會,10,17769,14.66,61461,50.70
108,社會,9,14670,12.10,43692,36.04
108,社會,8,11017,9.09,29022,23.94
108,社會,7,8056,6.65,18005,14.85
108,社會,6,5669,4.68,9949,8.21
108,社會,5,3064,2.53,4280,3.53
108,社會,4,1076,0.89,1216,1.00
108,社會,3,119,0.10,140,0.12
108,社會,2,9,0.01,21,0.02
108,社會,1,3,0.00,12,0.01
108,社會,0,9,0.01,9,0.01
108,自然,15,4135,3.81,108515,100.00
108,自然,14,5623,5.18,104380,96.19
108,自然,13,6631,6.11,98757,91.01
108,自然,12,7317,6.74,92126,84.90
108,自然,11,7752,7.14,84809,78.15
108,自然,10,7892,7.27,77057,71.01
108,自然,9,8549,7.88,69165,63.74
108,自然,8,9539,8.79,60616,55.86
108,自然,7,11344,10.45,51077,47.07
108,自然,6,14026,12.93,39733,36.62
108,自然,5,14131,13.02,25707,23.69
108,自然,4,9064,8.35,11576,10.67
108,自然,3,2349,2.16,2512,2.31
108,自然,2,140,0.13,163,0.15
108,自然,1,12,0.01,23,0.02
108,自然,0,11,0.01,11,0.01
